chunk_id,source,district,market_segment,property_type,year,n_transactions,median_psf,text
ura_d25_executive_condominium_2023,ura_transaction,25,OCR,Executive Condominium,2023,137,1099.0,"URA Private Residential — District 25 | Executive Condominium | OCR | 2023
Transactions: 137
Median transacted price: SGD 1,230,000
Median price per sqft (PSF): SGD 1,099
Median area: 1238 sqft
Resale share: 100%
"
ura_d25_executive_condominium_2024,ura_transaction,25,OCR,Executive Condominium,2024,250,1190.5,"URA Private Residential — District 25 | Executive Condominium | OCR | 2024
Transactions: 250
Median transacted price: SGD 1,220,000
Median price per sqft (PSF): SGD 1,190
Median area: 1109 sqft
Resale share: 100%
"
ura_d25_executive_condominium_2025,ura_transaction,25,OCR,Executive Condominium,2025,202,1201.0,"URA Private Residential — District 25 | Executive Condominium | OCR | 2025
Transactions: 202
Median transacted price: SGD 1,280,000
Median price per sqft (PSF): SGD 1,201
Median area: 1152 sqft
Resale share: 100%
"
ura_d25_executive_condominium_2026,ura_transaction,25,OCR,Executive Condominium,2026,45,1259.0,"URA Private Residential — District 25 | Executive Condominium | OCR | 2026
Transactions: 45
Median transacted price: SGD 1,268,000
Median price per sqft (PSF): SGD 1,259
Median area: 1152 sqft
Resale share: 100%
"
ura_d26_apartment_2022,ura_transaction,26,OCR,Apartment,2022,511,2106.0,"URA Private Residential — District 26 | Apartment | OCR | 2022
Transactions: 511
Median transacted price: SGD 1,668,150
Median price per sqft (PSF): SGD 2,106
Median area: 732 sqft
Resale share: 0%
"
ura_d26_apartment_2023,ura_transaction,26,OCR,Apartment,2023,637,2105.0,"URA Private Residential — District 26 | Apartment | OCR | 2023
Transactions: 637
Median transacted price: SGD 1,650,000
Median price per sqft (PSF): SGD 2,105
Median area: 753 sqft
Resale share: 0%
"
ura_d26_apartment_2024,ura_transaction,26,OCR,Apartment,2024,857,2242.0,"URA Private Residential — District 26 | Apartment | OCR | 2024
Transactions: 857
Median transacted price: SGD 2,057,000
Median price per sqft (PSF): SGD 2,242
Median area: 936 sqft
Resale share: 0%
"
ura_d26_apartment_2025,ura_transaction,26,OCR,Apartment,2025,1063,2174.0,"URA Private Residential — District 26 | Apartment | OCR | 2025
Transactions: 1063
Median transacted price: SGD 1,887,000
Median price per sqft (PSF): SGD 2,174
Median area: 883 sqft
Resale share: 0%
"
ura_d26_apartment_2026,ura_transaction,26,OCR,Apartment,2026,26,2232.5,"URA Private Residential — District 26 | Apartment | OCR | 2026
Transactions: 26
Median transacted price: SGD 2,697,000
Median price per sqft (PSF): SGD 2,232
Median area: 1248 sqft
Resale share: 0%
"
ura_d26_condominium_2024,ura_transaction,26,OCR,Condominium,2024,184,2171.0,"URA Private Residential — District 26 | Condominium | OCR | 2024
Transactions: 184
Median transacted price: SGD 1,626,000
Median price per sqft (PSF): SGD 2,171
Median area: 732 sqft
Resale share: 3%
"
ura_d26_condominium_2025,ura_transaction,26,OCR,Condominium,2025,513,2214.0,"URA Private Residential — District 26 | Condominium | OCR | 2025
Transactions: 513
Median transacted price: SGD 1,892,000
Median price per sqft (PSF): SGD 2,214
Median area: 915 sqft
Resale share: 2%
"
ura_d26_condominium_2026,ura_transaction,26,OCR,Condominium,2026,3,2256.0,"URA Private Residential — District 26 | Condominium | OCR | 2026
Transactions: 3
Median transacted price: SGD 2,112,000
Median price per sqft (PSF): SGD 2,256
Median area: 958 sqft
Resale share: 33%
"
ura_d27_apartment_2021,ura_transaction,27,OCR,Apartment,2021,394,1469.0,"URA Private Residential — District 27 | Apartment | OCR | 2021
Transactions: 394
Median transacted price: SGD 1,134,000
Median price per sqft (PSF): SGD 1,469
Median area: 753 sqft
Resale share: 8%
"
ura_d27_apartment_2022,ura_transaction,27,OCR,Apartment,2022,176,1456.5,"URA Private Residential — District 27 | Apartment | OCR | 2022
Transactions: 176
Median transacted price: SGD 1,571,500
Median price per sqft (PSF): SGD 1,456
Median area: 1109 sqft
Resale share: 31%
"
ura_d27_apartment_2023,ura_transaction,27,OCR,Apartment,2023,39,1357.0,"URA Private Residential — District 27 | Apartment | OCR | 2023
Transactions: 39
Median transacted price: SGD 1,185,000
Median price per sqft (PSF): SGD 1,357
Median area: 904 sqft
Resale share: 87%
"
ura_d27_apartment_2024,ura_transaction,27,OCR,Apartment,2024,35,1369.0,"URA Private Residential — District 27 | Apartment | OCR | 2024
Transactions: 35
Median transacted price: SGD 1,230,000
Median price per sqft (PSF): SGD 1,369
Median area: 872 sqft
Resale share: 97%
"
ura_d27_apartment_2025,ura_transaction,27,OCR,Apartment,2025,53,1395.0,"URA Private Residential — District 27 | Apartment | OCR | 2025
Transactions: 53
Median transacted price: SGD 1,200,000
Median price per sqft (PSF): SGD 1,395
Median area: 893 sqft
Resale share: 75%
"
ura_d27_apartment_2026,ura_transaction,27,OCR,Apartment,2026,8,1363.5,"URA Private Residential — District 27 | Apartment | OCR | 2026
Transactions: 8
Median transacted price: SGD 1,260,000
Median price per sqft (PSF): SGD 1,364
Median area: 915 sqft
Resale share: 62%
"
ura_d27_condominium_2021,ura_transaction,27,OCR,Condominium,2021,346,1171.0,"URA Private Residential — District 27 | Condominium | OCR | 2021
Transactions: 346
Median transacted price: SGD 1,095,000
Median price per sqft (PSF): SGD 1,171
Median area: 840 sqft
Resale share: 56%
"
ura_d27_condominium_2022,ura_transaction,27,OCR,Condominium,2022,333,1150.0,"URA Private Residential — District 27 | Condominium | OCR | 2022
Transactions: 333
Median transacted price: SGD 1,136,000
Median price per sqft (PSF): SGD 1,150
Median area: 1001 sqft
Resale share: 82%
"
ura_d27_condominium_2023,ura_transaction,27,OCR,Condominium,2023,230,1179.5,"URA Private Residential — District 27 | Condominium | OCR | 2023
Transactions: 230
Median transacted price: SGD 1,130,000
Median price per sqft (PSF): SGD 1,180
Median area: 1001 sqft
Resale share: 96%
"
ura_d27_condominium_2024,ura_transaction,27,OCR,Condominium,2024,296,1198.0,"URA Private Residential — District 27 | Condominium | OCR | 2024
Transactions: 296
Median transacted price: SGD 1,209,000
Median price per sqft (PSF): SGD 1,198
Median area: 1023 sqft
Resale share: 100%
"
ura_d27_condominium_2025,ura_transaction,27,OCR,Condominium,2025,248,1270.5,"URA Private Residential — District 27 | Condominium | OCR | 2025
Transactions: 248
Median transacted price: SGD 1,234,444
Median price per sqft (PSF): SGD 1,270
Median area: 1001 sqft
Resale share: 99%
"
ura_d27_condominium_2026,ura_transaction,27,OCR,Condominium,2026,66,1232.0,"URA Private Residential — District 27 | Condominium | OCR | 2026
Transactions: 66
Median transacted price: SGD 1,295,000
Median price per sqft (PSF): SGD 1,232
Median area: 1082 sqft
Resale share: 98%
"
ura_d27_executive_condominium_2021,ura_transaction,27,OCR,Executive Condominium,2021,511,1123.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2021
Transactions: 511
Median transacted price: SGD 1,151,000
Median price per sqft (PSF): SGD 1,123
Median area: 1044 sqft
Resale share: 31%
"
ura_d27_executive_condominium_2022,ura_transaction,27,OCR,Executive Condominium,2022,505,1242.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2022
Transactions: 505
Median transacted price: SGD 1,272,000
Median price per sqft (PSF): SGD 1,242
Median area: 1066 sqft
Resale share: 48%
"
ura_d27_executive_condominium_2023,ura_transaction,27,OCR,Executive Condominium,2023,667,1285.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2023
Transactions: 667
Median transacted price: SGD 1,293,000
Median price per sqft (PSF): SGD 1,285
Median area: 1001 sqft
Resale share: 73%
"
ura_d27_executive_condominium_2024,ura_transaction,27,OCR,Executive Condominium,2024,656,1318.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2024
Transactions: 656
Median transacted price: SGD 1,345,500
Median price per sqft (PSF): SGD 1,318
Median area: 1023 sqft
Resale share: 66%
"
ura_d27_executive_condominium_2025,ura_transaction,27,OCR,Executive Condominium,2025,363,1366.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2025
Transactions: 363
Median transacted price: SGD 1,418,000
Median price per sqft (PSF): SGD 1,366
Median area: 1055 sqft
Resale share: 91%
"
ura_d27_executive_condominium_2026,ura_transaction,27,OCR,Executive Condominium,2026,68,1410.0,"URA Private Residential — District 27 | Executive Condominium | OCR | 2026
Transactions: 68
Median transacted price: SGD 1,457,944
Median price per sqft (PSF): SGD 1,410
Median area: 1092 sqft
Resale share: 100%
"
ura_d28_apartment_2021,ura_transaction,28,OCR,Apartment,2021,93,1262.0,"URA Private Residential — District 28 | Apartment | OCR | 2021
Transactions: 93
Median transacted price: SGD 870,000
Median price per sqft (PSF): SGD 1,262
Median area: 700 sqft
Resale share: 100%
"
ura_d28_apartment_2022,ura_transaction,28,OCR,Apartment,2022,93,1357.0,"URA Private Residential — District 28 | Apartment | OCR | 2022
Transactions: 93
Median transacted price: SGD 1,080,000
Median price per sqft (PSF): SGD 1,357
Median area: 732 sqft
Resale share: 100%
"
ura_d28_apartment_2023,ura_transaction,28,OCR,Apartment,2023,101,1478.0,"URA Private Residential — District 28 | Apartment | OCR | 2023
Transactions: 101
Median transacted price: SGD 1,010,000
Median price per sqft (PSF): SGD 1,478
Median area: 678 sqft
Resale share: 100%
"
ura_d28_apartment_2024,ura_transaction,28,OCR,Apartment,2024,114,1514.0,"URA Private Residential — District 28 | Apartment | OCR | 2024
Transactions: 114
Median transacted price: SGD 1,060,000
Median price per sqft (PSF): SGD 1,514
Median area: 678 sqft
Resale share: 100%
"
ura_d28_apartment_2025,ura_transaction,28,OCR,Apartment,2025,91,1614.0,"URA Private Residential — District 28 | Apartment | OCR | 2025
Transactions: 91
Median transacted price: SGD 1,100,000
Median price per sqft (PSF): SGD 1,614
Median area: 700 sqft
Resale share: 100%
"
ura_d28_apartment_2026,ura_transaction,28,OCR,Apartment,2026,10,1583.0,"URA Private Residential — District 28 | Apartment | OCR | 2026
Transactions: 10
Median transacted price: SGD 1,210,000
Median price per sqft (PSF): SGD 1,583
Median area: 802 sqft
Resale share: 100%
"
ura_d28_condominium_2021,ura_transaction,28,OCR,Condominium,2021,155,1162.0,"URA Private Residential — District 28 | Condominium | OCR | 2021
Transactions: 155
Median transacted price: SGD 1,180,000
Median price per sqft (PSF): SGD 1,162
Median area: 1012 sqft
Resale share: 89%
"
ura_d28_condominium_2022,ura_transaction,28,OCR,Condominium,2022,208,1240.0,"URA Private Residential — District 28 | Condominium | OCR | 2022
Transactions: 208
Median transacted price: SGD 1,100,000
Median price per sqft (PSF): SGD 1,240
Median area: 883 sqft
Resale share: 80%
"
ura_d28_condominium_2023,ura_transaction,28,OCR,Condominium,2023,167,1283.0,"URA Private Residential — District 28 | Condominium | OCR | 2023
Transactions: 167
Median transacted price: SGD 1,250,000
Median price per sqft (PSF): SGD 1,283
Median area: 980 sqft
Resale share: 100%
"
ura_d28_condominium_2024,ura_transaction,28,OCR,Condominium,2024,181,1352.0,"URA Private Residential — District 28 | Condominium | OCR | 2024
Transactions: 181
Median transacted price: SGD 1,268,000
Median price per sqft (PSF): SGD 1,352
Median area: 947 sqft
Resale share: 100%
"
ura_d28_condominium_2025,ura_transaction,28,OCR,Condominium,2025,152,1417.0,"URA Private Residential — District 28 | Condominium | OCR | 2025
Transactions: 152
Median transacted price: SGD 1,342,500
Median price per sqft (PSF): SGD 1,417
Median area: 969 sqft
Resale share: 100%
"
ura_d28_condominium_2026,ura_transaction,28,OCR,Condominium,2026,36,1435.0,"URA Private Residential — District 28 | Condominium | OCR | 2026
Transactions: 36
Median transacted price: SGD 1,277,500
Median price per sqft (PSF): SGD 1,435
Median area: 980 sqft
Resale share: 100%
"
ura_d28_executive_condominium_2021,ura_transaction,28,OCR,Executive Condominium,2021,563,1207.0,"URA Private Residential — District 28 | Executive Condominium | OCR | 2021
Transactions: 563
Median transacted price: SGD 1,291,000
Median price per sqft (PSF): SGD 1,207
Median area: 1066 sqft
Resale share: 27%
"
ura_d28_executive_condominium_2022,ura_transaction,28,OCR,Executive Condominium,2022,179,1194.0,"URA Private Residential — District 28 | Executive Condominium | OCR | 2022
Transactions: 179
Median transacted price: SGD 1,284,000
Median price per sqft (PSF): SGD 1,194
Median area: 1055 sqft
Resale share: 59%
"
ura_d28_executive_condominium_2023,ura_transaction,28,OCR,Executive Condominium,2023,66,1284.0,"URA Private Residential — District 28 | Executive Condominium | OCR | 2023
Transactions: 66
Median transacted price: SGD 1,410,000
Median price per sqft (PSF): SGD 1,284
Median area: 1087 sqft
Resale share: 91%
"
ura_d28_executive_condominium_2024,ura_transaction,28,OCR,Executive Condominium,2024,72,1391.5,"URA Private Residential — District 28 | Executive Condominium | OCR | 2024
Transactions: 72
Median transacted price: SGD 1,500,000
Median price per sqft (PSF): SGD 1,392
Median area: 1055 sqft
Resale share: 90%
"
ura_d28_executive_condominium_2025,ura_transaction,28,OCR,Executive Condominium,2025,92,1462.0,"URA Private Residential — District 28 | Executive Condominium | OCR | 2025
Transactions: 92
Median transacted price: SGD 1,600,000
Median price per sqft (PSF): SGD 1,462
Median area: 1055 sqft
Resale share: 100%
"
ura_d28_executive_condominium_2026,ura_transaction,28,OCR,Executive Condominium,2026,19,1514.0,"URA Private Residential — District 28 | Executive Condominium | OCR | 2026
Transactions: 19
Median transacted price: SGD 1,592,000
Median price per sqft (PSF): SGD 1,514
Median area: 1055 sqft
Resale share: 100%
"
